Date,New York Statewide Average ($/gal),Long Island Average ($/gal),New York City Average ($/gal),Lower Hudson Average ($/gal),Upper Hudson Average ($/gal),Capital District Average ($/gal),North Country Average ($/gal),Central New York Average ($/gal),Western New York Average ($/gal)
09/08/1997,1.00,1.20,1.19,1.00,,0.94,0.87,0.89,0.90
09/22/1997,1.00,1.19,1.19,1.00,,0.93,0.87,0.89,0.90
10/06/1997,1.02,1.20,1.21,1.02,,0.95,0.89,0.91,0.91
10/20/1997,1.02,1.21,1.21,1.03,,0.96,0.90,0.91,0.92
11/03/1997,1.03,1.22,1.21,1.04,,0.96,0.90,0.92,0.93
11/10/1997,1.03,1.22,1.21,1.04,,0.96,0.90,0.92,0.92
11/17/1997,1.03,1.22,1.22,1.04,,0.96,0.92,0.93,0.93
11/24/1997,1.04,1.23,1.22,1.05,,0.96,0.93,0.94,0.93
12/01/1997,1.04,1.23,1.22,1.05,,0.95,0.93,0.94,0.93
12/08/1997,1.04,1.22,1.22,1.05,,0.96,0.93,0.94,0.93
12/15/1997,1.04,1.22,1.21,1.05,,0.95,0.94,0.94,0.94
12/22/1997,1.04,1.22,1.22,1.06,,0.96,0.94,0.94,0.94
12/29/1997,1.04,1.22,1.21,1.05,,0.96,0.94,0.94,0.94
01/05/1998,1.04,1.22,1.21,1.05,,0.96,0.94,0.95,0.94
01/12/1998,1.04,1.22,1.20,1.05,,0.96,0.94,0.94,0.93
01/19/1998,1.04,1.22,1.20,1.05,,0.95,0.94,0.95,0.93
01/26/1998,1.03,1.22,1.20,1.04,,0.95,0.94,0.95,0.92
02/02/1998,1.03,1.22,1.20,1.04,,0.95,0.94,0.94,0.93
02/09/1998,1.03,1.22,1.20,1.04,,0.95,0.94,0.94,0.93
02/16/1998,1.03,1.22,1.19,1.02,,0.95,0.94,0.94,0.92
02/23/1998,1.03,1.21,1.20,1.02,,0.94,0.94,0.94,0.91
03/02/1998,1.02,1.21,1.18,1.01,,0.95,0.94,0.94,0.89
03/16/1998,1.00,1.19,1.17,0.99,,0.93,0.93,0.93,0.87
03/30/1998,0.99,1.19,1.15,0.98,,0.90,0.91,0.92,0.87
04/13/1998,0.98,1.18,1.14,0.97,,0.90,0.90,0.92,0.86
04/27/1998,0.98,1.17,1.14,0.95,,0.89,0.89,0.91,0.86
09/08/1998,0.88,1.11,1.10,0.95,0.75,0.81,0.77,0.77,0.75
09/21/1998,0.88,1.11,1.09,0.95,0.75,0.81,0.79,0.77,0.74
10/05/1998,0.88,1.11,1.09,0.95,0.78,0.82,0.79,0.77,0.74
10/19/1998,0.89,1.12,1.09,0.95,0.79,0.82,0.80,0.77,0.74
11/02/1998,0.89,1.12,1.10,0.95,0.79,0.83,0.81,0.78,0.75
11/09/1998,0.89,1.11,1.10,0.95,0.79,0.83,0.81,0.78,0.76
11/16/1998,0.89,1.12,1.09,0.95,0.79,0.82,0.81,0.78,0.76
11/23/1998,0.89,1.12,1.09,0.95,0.79,0.81,0.81,0.79,0.76
11/30/1998,0.89,1.12,1.08,0.95,0.79,0.81,0.81,0.79,0.76
12/07/1998,0.89,1.11,1.08,0.95,0.79,0.81,0.82,0.80,0.76
12/14/1998,0.89,1.11,1.08,0.95,0.80,0.81,0.82,0.80,0.75
12/21/1998,0.89,1.10,1.07,0.95,0.80,0.81,0.82,0.80,0.76
12/28/1998,0.89,1.10,1.07,0.95,0.80,0.81,0.82,0.80,0.76
01/04/1999,0.89,1.11,1.07,0.95,0.80,0.81,0.82,0.81,0.76
01/11/1999,0.90,1.11,1.08,0.96,0.82,0.82,0.83,0.81,0.78
01/18/1999,0.91,1.10,1.08,0.96,0.82,0.82,0.84,0.82,0.79
01/25/1999,0.91,1.11,1.07,0.96,0.82,0.81,0.85,0.83,0.79
02/01/1999,0.91,1.10,1.07,0.96,0.82,0.82,0.85,0.83,0.80
02/08/1999,0.91,1.10,1.07,0.96,0.82,0.81,0.85,0.83,0.81
02/15/1999,0.90,1.10,1.07,0.96,0.81,0.81,0.85,0.83,0.80
02/22/1999,0.90,1.10,1.07,0.96,0.81,0.80,0.84,0.83,0.80
03/01/1999,0.90,1.10,1.07,0.96,0.81,0.80,0.84,0.82,0.80
03/15/1999,0.90,1.09,1.08,0.96,0.81,0.81,0.84,0.83,0.80
